city,name,complete_days,baseline_17,baseline_18,baseline_19,baseline_20,baseline_21,start_hour,train_n,test_n,test_win_rate,test_lower95,status
shenzhen,深圳,4584,0.9818935427574171,0.9947643979057592,0.9971640488656196,0.9980366492146597,0.9986910994764397,17,3920,73,1.0,0.9642622807967034,research_only
tokyo,东京,547,0.9616087751371115,0.9744058500914077,0.9817184643510055,0.9853747714808044,0.9890310786106032,17,388,84,1.0,0.9687961882676184,research_only
taipei,台北,517,0.9961315280464217,0.9980657640232108,0.9980657640232108,1.0,1.0,17,408,91,1.0,0.9711271782397718,weather_paper_candidate
shanghai,上海,548,0.9945255474452555,0.9963503649635036,0.9963503649635036,0.9981751824817519,0.9981751824817519,17,427,82,1.0,0.9680594286540215,research_only
guangzhou,广州,548,0.9726277372262774,0.9963503649635036,0.9981751824817519,0.9981751824817519,0.9981751824817519,17,428,92,0.9891304347826086,0.9527426220514683,research_only
toronto,多伦多,511,0.8512720156555773,0.9256360078277887,0.9608610567514677,0.9726027397260274,0.9784735812133072,17,362,85,1.0,0.9691519675091977,research_only
capetown,开普敦,361,0.9889196675900277,1.0,1.0,1.0,1.0,17,268,83,1.0,0.9684321066636192,research_only
qingdao,青岛,515,0.9980582524271845,0.9980582524271845,0.9980582524271845,0.9980582524271845,0.9980582524271845,17,416,88,1.0,0.9701722369872064,weather_paper_candidate
busan,釜山,517,0.9806576402321083,0.9941972920696325,0.9980657640232108,1.0,1.0,17,414,87,1.0,0.9698397295203957,research_only
manila,马尼拉,499,0.9939879759519038,0.9959919839679359,0.9979959919839679,0.9979959919839679,0.9979959919839679,17,393,83,1.0,0.9684321066636192,research_only
mexicocity,墨西哥城,458,1.0,1.0,1.0,1.0,1.0,17,373,84,1.0,0.9687961882676184,research_only
warsaw,华沙,540,0.9259259259259259,0.9722222222222222,0.9796296296296296,0.9833333333333333,0.9888888888888889,17,385,86,1.0,0.9694997251722435,research_only
milan,米兰,526,0.9391634980988594,0.9828897338403042,0.9942965779467681,0.9980988593155894,1.0,17,417,85,1.0,0.9691519675091977,research_only
amsterdam,阿姆斯特丹,541,0.922365988909427,0.9537892791127541,0.9648798521256932,0.9722735674676525,0.9759704251386322,17,390,92,1.0,0.9714320476350278,weather_paper_candidate
panama,巴拿马城,349,0.997134670487106,1.0,1.0,1.0,1.0,17,289,55,1.0,0.9531146698887315,research_only
jeddah,吉达,507,0.9763313609467456,0.9960552268244576,0.9980276134122288,0.9980276134122288,0.9980276134122288,17,417,85,1.0,0.9691519675091977,research_only
denver,丹佛,421,0.9786223277909739,0.997624703087886,1.0,1.0,1.0,17,347,73,1.0,0.9642622807967034,research_only
houston,休斯顿,472,0.9745762711864406,0.9936440677966102,0.9978813559322034,0.9978813559322034,0.9978813559322034,17,374,86,1.0,0.9694997251722435,research_only
sanfrancisco,旧金山,487,0.9897330595482546,0.9938398357289527,0.9958932238193019,0.9958932238193019,0.997946611909651,17,370,91,1.0,0.9711271782397718,weather_paper_candidate
seattle,西雅图,479,0.8810020876826722,0.9707724425887265,0.9812108559498957,0.9853862212943633,0.9895615866388309,17,328,87,1.0,0.9698397295203957,research_only
chengdu,成都,517,0.8994197292069632,0.9806576402321083,0.9980657640232108,1.0,1.0,17,383,89,1.0,0.9704974928211433,weather_paper_candidate
buenosaires,布宜诺斯艾利斯,509,0.9607072691552063,0.9901768172888016,0.9941060903732809,0.9960707269155207,0.9980353634577603,17,408,87,1.0,0.9698397295203957,research_only
madrid,马德里,544,0.6470588235294118,0.8492647058823529,0.9724264705882353,0.9926470588235294,0.9981617647058824,17,408,85,1.0,0.9691519675091977,research_only
kualalumpur,吉隆坡,539,0.987012987012987,0.9981447124304267,1.0,1.0,1.0,17,442,92,1.0,0.9714320476350278,weather_paper_candidate
paris,巴黎,534,0.8295880149812734,0.9456928838951311,0.9775280898876404,0.9831460674157303,0.9887640449438202,17,389,89,1.0,0.9704974928211433,weather_paper_candidate
wuhan,武汉,522,0.946360153256705,0.9865900383141762,1.0,1.0,1.0,17,387,89,1.0,0.9704974928211433,weather_paper_candidate
losangeles,洛杉矶,473,0.9936575052854123,0.9936575052854123,0.9936575052854123,0.9936575052854123,0.9957716701902748,17,365,86,1.0,0.9694997251722435,research_only
singapore,新加坡,548,0.9854014598540146,0.9981751824817519,0.9981751824817519,0.9981751824817519,0.9981751824817519,17,441,88,1.0,0.9701722369872064,weather_paper_candidate
beijing,北京,548,0.9854014598540146,0.9981751824817519,1.0,1.0,1.0,17,447,93,1.0,0.9717305460431025,weather_paper_candidate
