day,hour,label,model_p,mid,fill,multiple,won,pnl
2026-03-26,10,25°C,0.1768,0.0005,0.0105,16.84,0,-1.0
2026-03-26,10,26°C,0.3913,0.07,0.08,4.89,0,-1.0
2026-03-27,9,26°C,0.227,0.027,0.037,6.13,0,-1.0
2026-03-27,11,27°C,0.8226,0.225,0.235,3.5,0,-1.0
2026-03-28,10,26°C,0.1276,0.0005,0.0105,12.16,0,-1.0
2026-03-28,10,27°C,0.4673,0.155,0.165,2.83,0,-1.0
2026-03-29,12,27°C,0.7478,0.064,0.074,10.11,1,12.513513513513514
2026-03-30,9,26°C,0.244,0.005,0.015,16.27,0,-1.0
2026-03-30,10,25°C,0.9171,0.0005,0.0105,87.34,0,-1.0
2026-04-01,9,23°C,0.2564,0.0045,0.0145,17.68,0,-1.0
2026-04-01,9,24°C,0.3538,0.0035,0.0135,26.21,0,-1.0
2026-04-02,9,28°C,0.238,0.032,0.042,5.67,0,-1.0
2026-04-02,9,29°C or higher,0.5869,0.006,0.016,36.68,0,-1.0
2026-04-03,9,30°C or higher,0.1362,0.0215,0.0315,4.32,0,-1.0
2026-04-03,11,27°C,0.6573,0.17,0.18,3.65,0,-1.0
2026-04-04,10,26°C,0.1758,0.0005,0.0105,16.74,0,-1.0
2026-04-04,11,26°C,0.1299,0.0005,0.0105,12.37,0,-1.0
2026-04-05,12,28°C,0.2161,0.035,0.045,4.8,0,-1.0
2026-04-06,10,31°C or higher,0.0905,0.011,0.021,4.31,0,-1.0
2026-04-06,11,31°C or higher,0.1117,0.0135,0.0235,4.75,0,-1.0
2026-04-07,11,28°C,0.3383,0.0355,0.0455,7.44,0,-1.0
2026-04-09,10,27°C,0.1296,0.0125,0.0225,5.76,0,-1.0
2026-04-09,10,28°C,0.4662,0.06,0.07,6.66,0,-1.0
2026-04-10,9,27°C,0.2284,0.0165,0.0265,8.62,0,-1.0
2026-04-10,9,28°C,0.4503,0.095,0.105,4.29,0,-1.0
2026-04-11,10,28°C,0.3099,0.1055,0.1155,2.68,1,7.658008658008658
2026-04-11,11,28°C,0.4591,0.18,0.19,2.42,1,4.2631578947368425
2026-04-12,10,28°C,0.2848,0.125,0.135,2.11,0,-1.0
2026-04-12,11,27°C,0.1392,0.0005,0.0105,13.26,0,-1.0
2026-04-13,9,32°C or higher,0.1182,0.013,0.023,5.14,0,-1.0
2026-04-13,10,32°C or higher,0.2623,0.0125,0.0225,11.66,0,-1.0
2026-04-14,10,28°C,0.1259,0.0005,0.0105,11.99,0,-1.0
2026-04-14,10,29°C,0.4273,0.14,0.15,2.85,0,-1.0
2026-04-15,9,28°C,0.2278,0.036,0.046,4.95,0,-1.0
2026-04-15,9,29°C,0.4517,0.215,0.225,2.01,0,-1.0
2026-04-16,10,28°C,0.1912,0.0005,0.0105,18.21,0,-1.0
2026-04-16,10,29°C,0.3981,0.185,0.195,2.04,0,-1.0
2026-04-17,10,27°C,0.1795,0.0005,0.0105,17.09,0,-1.0
2026-04-17,10,28°C,0.3903,0.0005,0.0105,37.17,0,-1.0
2026-04-18,9,25°C,0.2549,0.0005,0.0105,24.28,0,-1.0
2026-04-18,9,26°C,0.4174,0.0035,0.0135,30.92,0,-1.0
2026-04-19,9,28°C,0.3445,0.0245,0.0345,9.99,0,-1.0
2026-04-19,10,28°C,0.3013,0.019,0.029,10.39,0,-1.0
2026-04-20,9,32°C or higher,0.2381,0.024,0.034,7.0,0,-1.0
2026-04-20,10,28°C,0.1111,0.0005,0.0105,10.58,0,-1.0
2026-04-21,11,28°C,0.3009,0.0005,0.0105,28.65,0,-1.0
2026-04-21,12,28°C,0.543,0.0005,0.0105,51.72,0,-1.0
2026-04-22,9,28°C,0.2266,0.034,0.044,5.15,0,-1.0
2026-04-22,11,28°C,0.3116,0.0005,0.0105,29.68,0,-1.0
2026-04-23,9,30°C,0.234,0.0325,0.0425,5.51,0,-1.0
2026-04-23,10,27°C,0.1821,0.0005,0.0105,17.34,0,-1.0
2026-04-24,9,24°C,0.2733,0.0295,0.0395,6.92,0,-1.0
2026-04-24,9,25°C,0.1511,0.0255,0.0355,4.26,0,-1.0
2026-04-25,12,28°C,0.2545,0.105,0.115,2.21,0,-1.0
2026-04-26,9,25°C,0.1124,0.001,0.011,10.22,0,-1.0
2026-04-26,9,26°C,0.3964,0.003,0.013,30.5,0,-1.0
2026-04-27,9,27°C,0.1511,0.021,0.031,4.87,0,-1.0
2026-04-27,10,31°C or higher,0.1699,0.032,0.042,4.05,0,-1.0
2026-04-28,10,31°C,0.223,0.015,0.025,8.92,0,-1.0
2026-04-28,10,32°C or higher,0.3789,0.0045,0.0145,26.13,0,-1.0
2026-04-29,9,30°C or higher,0.1608,0.0135,0.0235,6.84,0,-1.0
2026-04-29,12,29°C,0.2338,0.0305,0.0405,5.77,0,-1.0
2026-04-30,9,23°C,0.2588,0.008,0.018,14.38,0,-1.0
2026-04-30,9,24°C,0.2716,0.105,0.115,2.36,0,-1.0
2026-05-01,9,25°C,0.2395,0.044,0.054,4.43,0,-1.0
2026-05-01,10,25°C,0.1885,0.0005,0.0105,17.96,0,-1.0
2026-05-02,9,31°C,0.2272,0.0455,0.0555,4.09,0,-1.0
