day,cum_pnl_usd
2026-03-26,-2.0
2026-03-27,-4.0
2026-03-28,-6.0
2026-03-29,6.5135
2026-03-30,4.5135
2026-04-01,2.5135
2026-04-02,0.5135
2026-04-03,-1.4865
2026-04-04,-3.4865
2026-04-06,-5.4865
2026-04-07,-7.4865
2026-04-08,-9.4865
2026-04-09,-11.4865
2026-04-10,-13.4865
2026-04-11,-6.8285
2026-04-12,-8.8285
2026-04-13,-10.8285
2026-04-14,-12.8285
2026-04-15,-14.8285
2026-04-16,-16.8285
2026-04-17,-18.8285
2026-04-18,-20.8285
2026-04-19,-22.8285
2026-04-20,-24.8285
2026-04-21,-26.8285
2026-04-22,-28.8285
2026-04-23,-30.8285
2026-04-24,-32.8285
2026-04-25,-33.8285
2026-04-26,-35.8285
2026-04-27,-37.8285
2026-04-28,-39.8285
2026-04-29,-40.8285
2026-04-30,-42.8285
2026-05-01,-44.8285
2026-05-02,-46.8285
2026-05-03,-48.8285
2026-05-04,-50.8285
2026-05-05,-52.8285
2026-05-06,-54.8285
2026-05-07,-56.8285
2026-05-08,-58.8285
2026-05-09,-60.8285
2026-05-10,-62.8285
2026-05-11,-64.8285
2026-05-12,-66.8285
2026-05-13,-68.8285
2026-05-14,-70.8285
2026-05-15,-71.8285
2026-05-16,-73.8285
2026-05-17,-75.8285
2026-05-20,-77.8285
2026-05-21,-78.8285
2026-05-22,-80.8285
2026-05-23,-82.8285
2026-05-24,-84.8285
2026-05-26,-86.8285
2026-05-27,-88.8285
2026-05-28,-90.8285
2026-05-29,-92.8285
2026-05-30,-94.8285
2026-05-31,-45.1618
2026-06-02,-47.1618
2026-06-03,-49.1618
2026-06-04,-51.1618
2026-06-05,-53.1618
2026-06-07,-54.1618
2026-06-08,-56.1618
2026-06-09,-51.6063
2026-06-10,-52.6063
2026-06-11,-44.9909
2026-06-12,-46.9909
2026-06-13,-47.9909
2026-06-14,-49.9909
2026-06-15,-51.9909
2026-06-16,-52.9909
2026-06-17,-54.9909
2026-06-18,-56.9909
2026-06-19,-58.9909
2026-06-20,-60.9909
2026-06-22,-62.9909
2026-06-23,-64.9909
2026-06-24,-66.9909
2026-06-25,-68.9909
2026-06-26,-70.9909
2026-06-27,-72.9909
2026-06-28,-74.9909
2026-06-29,-76.9909
2026-06-30,-78.9909
2026-07-01,-79.9909
2026-07-02,-80.9909
2026-07-03,-82.9909
2026-07-04,-84.9909
2026-07-05,-86.9909
2026-07-06,-88.9909
2026-07-07,-90.9909
2026-07-08,-88.3397
2026-07-09,-80.8651
2026-07-10,-81.8651
2026-07-11,-83.8651
2026-07-12,-85.8651
2026-07-13,-87.8651
2026-07-14,-89.8651
2026-07-15,-90.8651
2026-07-16,-80.3183
2026-07-17,-82.3183
2026-07-19,-83.3183
2026-07-21,-85.3183
2026-07-22,-87.3183
2026-07-23,-89.3183
2026-07-24,-91.3183
2026-07-25,-93.3183
2026-07-26,-95.3183
2026-07-27,-97.3183
2026-07-28,-95.2367
2026-07-29,-96.2367
2026-07-30,-98.2367
2026-08-03,-100.2367
2026-08-04,-95.57
2026-08-05,-97.57
2026-08-06,-99.57
2026-08-07,-101.57
2026-08-08,-103.57
2026-08-11,-105.57
2026-08-12,-107.57
2026-08-13,-109.57
2026-08-14,-111.57
2026-08-15,-113.57
2026-08-16,-115.57
2026-08-17,-117.57
2026-08-18,-119.57
2026-08-19,-120.57
2026-08-20,-122.57
2026-08-21,-124.57
2026-08-23,-126.57
2026-08-24,-102.57
2026-08-27,-103.57
2026-08-28,-105.57
2026-08-29,-103.3147
2026-08-30,-105.3147
2026-08-31,-107.3147
2026-09-01,-108.3147
2026-09-02,-110.3147
2026-09-04,-112.3147
2026-09-05,-113.3147
2026-09-07,-115.3147
2026-09-08,-117.3147
2026-09-09,-119.3147
2026-09-10,-121.3147
2026-09-11,-123.3147
